Date,Open,High,Low,Close,Volume
2019-01-01,154.4,158.01,152.28,155.89,5820545
2019-01-02,159.14,160.98,156.21,158.05,5551140
2019-01-03,161.44,165.23,158.96,162.75,3778267
2019-01-04,159.0,159.73,157.48,158.2,6413100
2019-01-07,154.95,157.02,153.59,155.66,6121641
2019-01-08,161.24,162.5,158.37,159.63,3284506
2019-01-09,156.61,157.12,155.34,155.86,6133934
2019-01-10,159.42,162.46,157.39,160.43,7428966
2019-01-11,162.19,164.47,160.82,163.11,6716949
2019-01-14,158.26,160.13,155.78,157.65,6132432
2019-01-15,160.24,163.18,157.56,160.5,6365619
2019-01-16,164.5,165.99,163.18,164.67,6632960
2019-01-17,166.36,167.64,163.79,165.08,3023834
2019-01-18,155.09,157.4,153.53,155.84,6046735
2019-01-21,156.41,158.4,154.32,156.32,2395974
2019-01-22,164.35,165.56,162.18,163.39,3509189
2019-01-23,164.69,165.87,162.7,163.88,7541692
2019-01-24,167.93,170.12,165.9,168.09,2981227
2019-01-25,161.62,163.59,159.93,161.9,6905356
2019-01-28,155.6,157.81,155.12,157.33,3957619
2019-01-29,160.52,162.47,159.64,,2469046
2019-01-30,160.58,162.83,158.01,160.26,1679212
2019-01-31,166.36,168.2,164.66,166.5,4837537
2019-02-01,164.16,165.28,162.96,164.08,4158963
2019-02-04,163.85,165.26,161.39,162.81,4579408
2019-02-05,167.87,170.57,166.37,169.06,1301986
2019-02-06,171.94,174.05,170.08,172.18,2876865
2019-02-07,168.55,169.37,167.54,168.36,1027621
2019-02-08,160.41,162.19,159.33,161.11,3117424
2019-02-11,169.04,170.67,165.97,167.6,7520492
2019-02-12,171.76,173.21,169.4,170.85,2066182
2019-02-13,172.97,174.76,170.9,172.68,5825358
2019-02-14,175.4,176.29,172.72,173.61,1040460
2019-02-15,163.92,167.1,162.24,165.42,4932928
2019-02-18,173.0,175.06,170.96,173.01,7446555
2019-02-19,168.95,170.7,166.85,168.59,3387714
2019-02-20,174.47,176.96,172.9,175.39,2380129
2019-02-21,168.69,170.14,166.94,168.39,4993766
2019-02-22,166.32,168.51,165.24,167.43,2952621
2019-02-25,173.87,175.34,171.72,173.18,7241030
2019-02-26,172.62,174.75,169.43,171.56,6942986
2019-02-27,177.33,178.77,175.62,177.06,5566660
2019-02-28,172.83,175.74,171.77,174.68,5473279
2019-03-01,170.37,172.59,169.11,171.34,5217373
2019-03-04,174.98,176.58,172.82,174.42,6147044
2019-03-05,173.03,174.35,171.7,173.01,4221431
2019-03-06,169.29,173.73,167.55,171.98,7788213
2019-03-07,175.1,176.86,172.1,173.86,3419879
2019-03-08,175.03,176.97,172.94,174.89,1062569
2019-03-11,173.04,176.07,170.83,173.86,5889829
2019-03-12,172.53,174.53,169.54,171.54,5635591
2019-03-13,175.68,177.39,174.65,176.36,7866866
2019-03-14,174.79,176.53,173.74,175.48,3767279
2019-03-15,173.61,175.08,171.79,173.26,3973303
2019-03-18,171.63,172.91,168.58,169.85,4934004
2019-03-19,175.55,176.48,172.99,173.93,3745436
2019-03-20,176.37,177.65,174.73,176.01,6494003
2019-03-21,180.06,181.32,178.34,179.6,3996794
2019-03-22,177.48,178.64,175.52,176.69,6485359
2019-03-25,172.67,175.27,171.33,173.93,3978807
2019-03-26,175.73,177.82,173.0,175.09,2575689
2019-03-27,177.96,180.3,176.36,178.7,7934373
2019-03-28,175.92,178.66,172.87,175.61,4685392
2019-03-29,172.06,173.87,170.47,172.28,5947447
2019-04-01,172.8,174.15,170.94,172.29,5138850
2019-04-02,175.85,177.35,174.23,175.73,3514291
2019-04-03,173.57,178.27,171.94,176.64,7804979
2019-04-04,179.17,180.88,177.27,178.99,3600516
2019-04-05,178.62,181.16,175.44,177.98,7951648
2019-04-08,171.75,172.83,170.23,171.3,4015578
2019-04-09,177.09,179.12,175.16,177.19,1158543
2019-04-10,180.13,181.73,176.88,178.49,1256985
2019-04-11,179.02,179.74,178.0,178.71,7815602
2019-04-12,175.66,177.55,173.34,175.22,4694714
